Trial Number,Value,MaxIterations,TabuSize,numDesireSolution,ErrorTolerance,Average Objective Value
0,1.1031475786678095,465,22,33,5.868714865191905e-05,0.1378934473334762
1,1.0550826813475818,266,14,66,0.0008015663422753844,0.13188533516844772
2,1.0585191933258056,281,45,64,0.00022639878365240563,0.1323148991657257
3,1.9574127934735328,385,38,10,0.003246647997590815,0.2446765991841916
4,1.0463353526119683,348,26,54,0.003792852566076823,0.13079191907649604
5,1.0311873716519755,403,11,44,0.07767122837392172,0.12889842145649694
6,0.8141028437891888,400,47,91,0.0006136834657530287,0.1017628554736486
7,1.7689951509920039,76,30,88,0.0007757960395916188,0.22112439387400049
8,1.857422732722739,63,8,80,0.00013961166933805253,0.23217784159034238
9,0.8381307770852142,462,35,72,0.050832709829627544,0.10476634713565178
10,1.1531363881577241,176,47,97,1.3274457616127621e-05,0.14414204851971552
